#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
3351368	1111	8337	107536	113933	-	-	CHEK1	HIST2H2AA3	CHK1	H2A|H2A.2|H2A/O|H2A/q|H2AFO|H2a-615|HIST2H2AA	Affinity Capture-MS	physical	Cho NH (2022)	PUBMED:35271311	9606	9606	High Throughput	-	-	Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q6FI13	-	NP_003507	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3375466	7529	1111	113361	107536	RP1-148E22.1	-	YWHAB	CHEK1	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	CHK1	Affinity Capture-MS	physical	Cho NH (2022)	PUBMED:35271311	9606	9606	High Throughput	-	-	Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins	-	BIOGRID	P31946	V9HWD6	NP_647539|NP_003395	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3394149	63967	1111	122015	107536	-	-	CLSPN	CHEK1	-	CHK1	Affinity Capture-Western	physical	Zhu X (2022)	PUBMED:35048968	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3405207	1111	1111	107536	107536	-	-	CHEK1	CHEK1	CHK1	CHK1	Affinity Capture-Western	physical	Pabla N (2012)	PUBMED:22184239	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3405208	1111	1111	107536	107536	-	-	CHEK1	CHEK1	CHK1	CHK1	Reconstituted Complex	physical	Pabla N (2012)	PUBMED:22184239	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3407084	1111	10926	107536	116129	-	-	CHEK1	DBF4	CHK1	ASK|CHIF|DBF4A|ZDBF1	Biochemical Activity	physical	Heffernan TP (2007)	PUBMED:17276990	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9UBU7	B7Z8C6	NP_006707	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3407085	1111	63967	107536	122015	-	-	CHEK1	CLSPN	CHK1	-	Affinity Capture-Western	physical	Heffernan TP (2007)	PUBMED:17276990	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9HAW4	-	NP_071394|NP_001177410|NP_001317419	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3407086	1111	10926	107536	116129	-	-	CHEK1	DBF4	CHK1	ASK|CHIF|DBF4A|ZDBF1	Affinity Capture-Western	physical	Heffernan TP (2007)	PUBMED:17276990	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	Q9UBU7	B7Z8C6	NP_006707	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3454877	1111	8555	107536	114125	-	RP11-172F4.1	CHEK1	CDC14B	CHK1	CDC14B3|Cdc14B1|Cdc14B2|hCDC14B	Affinity Capture-Western	physical	Peddibhotla S (2011)	PUBMED:21301228	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	O60729	-	NP_001070649|NP_201588|NP_003662	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3454878	1111	8555	107536	114125	-	RP11-172F4.1	CHEK1	CDC14B	CHK1	CDC14B3|Cdc14B1|Cdc14B2|hCDC14B	Biochemical Activity	physical	Peddibhotla S (2011)	PUBMED:21301228	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	O60729	-	NP_001070649|NP_201588|NP_003662	-	-	-	-	-	-	Homo sapiens	Homo sapiens
